Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.5604,572.1618,356.0822,347.4665,389.8253,441.894,484.0916,501.1565,584.3843,575.6285,603.298,676.15,765.3162,910.1713,1166.638,1608.163,2109.526,3064.28,3908.949,2917.366,3143.029,3462.682,3643.715,3833.157,4017.23,3666.142,3679.952,4041.995,4391.923,4828.505,4505.868,4966.513,7014.207
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800.729,9043.682,8832.819,8733.014,8673.927,9187.166,10019.5,12191.6,10446.86,10495.3,11920.06,12038.87,12314,13101.54,13300.82,12372.88,13195.94,13672.58,15501.53,15743.31,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1208.677,1366.092,1688.309,2025.475,2271.832,2519.803,2784.737,3187.981,3703.787,4488.196,5239.458,6230.467,6895.386,7255.406,7569.969,7721.763,8129.144,8788.013,8440.035,9079.481,9556.833,10029.48,10379.16,11010.2,10502.94,10549.67,10968.89,11650.85,12808.01,14310.69,16006.14,16457.1,14530.6,13404.52,13117.15,13686.48,13350.15,14004.81,14861.88,15862.65,16110.31,17514.36,18187.78,15284.77,16740.35,18745.17
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1810.597,1877.6,1854.642,1967.109,2131.38,2281.012,2343.82,2580.111,2724.131,2991.386,3304.838,3495.142,3949.462,4770.714,6482.831,7003.842,7486.685,7775.578,8252.652,9294.359,10208.58,11853.44,12778.86,11515.5,12421.36,11441.05,11391.44,11650.84,14284.43,17834.45,18249.53,18860.27,18624.59,17700.12,18129.79,20446.72,22020.08,23645.06,21478.39,20698.71,21853.45,19681.65,20290.78,23705.91,30819.99,34460.54,36570.76,41023.75,49681.22,42810.47,52132.47,62598.69,68047.38,68156.39,62515.31,56708.96,49876.71,53934.15,57206.99,54941.07,51722.07,60444.5,64491.43
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604,1031.815,1087.834,1167.001,1269.413,1374.532,1486.969,1569.667,1677.674,1825.386,2058.769,2380.978,2924.049,3890.722,4630.757,5285.621,5678.387,6810.628,8205.469,9793.765,10869.55,9385.249,9410.347,9537.407,8991.065,9172.097,13083.07,16392.77,17578.62,17468.95,21680.99,22410.91,24880.16,24081.53,25646.7,30325.85,29809.08,26705.48,27361.88,27183.48,24625.6,24558.76,26527.59,32294.05,36889.23,38417.46,40669.33,46915.34,51919.98,48153.32,46903.76,51442.28,48564.92,50731.13,51786.38,44195.82,45307.59,47429.16,51466.56,50070.4,48809.23,53637.71,52131.45
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.531,734.9442,60.23512,209.531,157.0635,314.5582,409.1856,505.5162,561.907,573.8933,655.0974,703.6713,763.1088,883.6926,1045.014,1578.367,2472.957,3851.331,5574.471,4950.397,5843.534,7189.815,7495.862,7875.345,7890.835,5500.505,3880.686,4147.199,4739.795,4805.754,4229.911,5408.045,7736.701
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,71.36022,72.08878,73.94201,78.94827,85.96472,50.99042,51.80864,54.45031,54.64747,55.54378,69.39511,70.58552,68.95533,85.21464,94.33346,112.2861,117.0519,139.4133,151.068,189.1259,213.2534,215.7876,220.157,229.1177,203.8598,232.4118,238.3569,219.3713,205.3179,207.292,206.4449,208.6567,188.5812,168.9641,165.5859,168.6272,146.5362,164.2334,148.0895,130.753,138.0046,135.6065,124.1393,114.367,128.5384,151.1885,166.2762,170.7069,194.7106,204.5448,222.6606,236.4513,238.2059,241.5477,257.8186,289.3596,242.5395,244.1454,232.0606,216.973,216.8274,221.1578,238.4419
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1273.692,1350.198,1438.523,1535.024,1701.846,1835.595,1957.626,2086.636,2222.362,2458.082,2765.891,3082.928,3831.632,4900.962,5733.798,6701.377,7243.047,8426.947,10289.77,11810.62,12864,10622.8,9343.861,8846.234,8457.269,8750.819,12170.04,15135.85,16391.09,16525.06,20600.38,21041.66,23372.62,22283.94,24208.55,28413.83,27489.56,24820.94,25338.44,25252.8,23098.89,23015.07,25006.19,30655.21,35429.41,36809.7,38705.11,44319.17,48303.4,44760.29,44184.95,47410.57,44670.56,46757.95,47764.07,41008.3,42012.62,44198.48,47544.98,46641.71,45517.9,51268.39,49582.83
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,90.03583,92.37486,91.17139,96.25466,100.4681,105.9669,108.6282,107.6829,112.478,111.6953,110.3469,108.4947,129.9996,156.2803,168.0123,200.3343,201.8329,211.4929,255.3924,317.8204,366.5295,327.565,312.6932,262.5773,244.8444,236.6106,293.5596,333.2231,335.3419,301.6849,381.8051,375.292,310.6237,398.613,269.7906,358.823,380.5883,355.1421,372.8773,541.7023,502.998,508.3474,564.3791,698.4088,784.1191,805.9047,837.132,944.6432,1098.947,1061.718,1009.489,1099.414,1112.57,1214.296,1251.505,1041.653,1049.82,1095.274,1194.438,1170.966,1237.949,1361.101,1303.222
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,69.0832,72.17377,77.07733,78.82909,80.83386,81.99353,82.75922,84.55949,84.91933,86.71512,81.68773,84.51799,99.66707,114.2185,124.8115,153.1288,155.755,176.2975,224.3286,259.0365,278.1955,249.2855,239.6195,212.487,188.3358,194.5679,248.0929,280.9527,301.9535,294.0437,339.6318,334.7597,349.7081,325.1537,187.8151,229.8327,243.5269,224.6113,250.4139,293.8874,249.8021,260.4435,286.7537,363.8184,405.4513,442.9444,457.3421,516.7503,621.8903,603.8775,627.2704,727.6125,733.9729,762.3038,767.3713,632.1267,665.7863,711.1845,779.2028,772.1669,833.2443,893.0772,832.8843
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,84.82533,92.85511,95.0478,96.55221,94.86755,100.9679,106.8557,116.7963,116.9405,128.6079,133.1429,127.9954,90.67837,113.6657,171.5262,260.3515,132.4575,123.5145,166.0064,190.0358,216.1099,235.0384,209.1957,193.4094,202.2878,232.1658,221.5696,241.7949,258.8305,274.3894,294.9047,283.3823,284.967,292.4253,292.0788,322.0874,387.3849,395.3181,401.9652,404.4861,413.1002,410.0485,407.963,440.7144,469.1165,492.8086,503.5383,552.3389,630.109,698.5209,776.8596,856.3819,876.818,973.7739,1108.515,1236.004,1659.962,1815.61,1963.413,2122.078,2233.306,2457.924,2688.304
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2238.803,2234.815,2169.004,1852.813,1963.573,1914.551,2260.427,3132.301,2511.393,2477.021,2366.53,1267.734,1211.981,1278.544,1148.494,2259.265,1470.195,1361.409,1820.448,1659.719,1621.262,1770.907,2092.983,2719.495,3389.688,3899.825,4523.148,5888.777,7271.305,6988.275,6862.758,7856.986,7431.014,7686.629,7912.521,7081.102,7574.191,8386.589,9451.851,9878.769,10153.48,12222.24,13772.48
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,8474.188,9187.98,9323.75,9227.68,9316.381,8407.164,6780.144,7270.2,7660.067,7721.738,8174.797,8621.767,8568.658,9063.566,9384.773,9543.39,9643.31,9728.447,9195.427,9566.096,12738.77,12291.83,12820,14230.3,15777.96,17705.24,19057.8,20883.55,23155.82,19448.18,21186.81,23741.56,25102.73,25790.73,25464.76,22795.45,22867.18,24349.91,25415.85,25869.11,23433.19,26860.07,30152.03
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1483.004,1581.304,1680.495,1792.422,1921.437,2073.83,2246.849,2466.52,2688.944,3057.323,3005.784,3108.954,3123.464,3466.055,3197.702,2953.225,3115.538,3386.626,3871.34,5194.462,5967.768,6257.787,6797.831,7324.187,8463.465,9436.233,9858.296,10617.41,10819.27,11533.26,11696.51,11269.95,11025.88,10730,11085.15,11447.02,11835.39,20415.71,21665.39,23991.7,24849.61,25234.14,26590.14,26204.88,26393.41,28280.87,28829.85,29687.87,29013.63,27120.69,27046.66,26644.93,28059.66,27389.6,28720.66,29724.95,29675.54,30708.99,31483.98,32279.01,23998.27,28260.43,31458.3
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.7832,497.6828,712.9536,907.1489,1000.417,1128.399,1332.211,1382.768,1602.564,2031.402,2451.577,2741.08,3170.175,3936.932,4846.792,4542.311,4506.934,4980.906,4688.346,5025.241,5196.969,4654.61,4917.264,5327.393,6024.492,6094.723,6095.102,7230.198,7585.375
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.768,1765.736,1667.605,1590.088,1460.066,1370.699,1452.507,1396.442,1511.325,1210.612,1276.288,1244.373,1479.383,1819.526,2378.34,3126.072,3848.216,4735.485,6376.183,5352.49,6034.679,6527.655,6953.217,7998.078,8341.288,5967.069,5039.776,5785.535,6360.052,6837.767,6542.865,7489.719,7904.856
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,307.1286,319.6028,331.2013,341.3861,355.6439,382.5907,411.3383,425.7323,391.8999,401.2011,441.1719,479.9269,527.7566,616.4712,802.0562,903.6173,727.4556,863.9111,981.0484,1070.348,1363.84,1318.127,1195.509,1231.012,1342.228,1301.083,1385.471,1643.95,1831.02,2065.72,3009.491,3212.451,3644.265,3867.605,3888.295,4021.007,4057.854,3997.844,4063.902,4189.35,4642.147,4687.626,4816.651,4916.704,5106.053,5212.662,5475.723,5707.113,5656.408,5348.998,5397.292,5521.366,5645.896,5887.933,6068.089,6142.479,6148.707,6100.995,6059.163,6210.566,5266.876,6228.267,6968.362
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1902.402,1961.538,2020.386,2020.265,2199.727,2282.217,2630.85,2982.75,2830.189,3053.704,3387.273,3866.3,4343.173,5009.294,5853.933,6509.434,7261.278,8370.787,8876.866,9613.383,11218.22,13425.98,14166.17,15902.02,17469.83,18269.54,20450.66,22411.8,24253.18,25517.92,26841.52,27700.31,28669.68,30900.69,31476.06,33989.72,44826.79,48478.88,51371.74,54245.46,56284.17,58883.96,62583.1,66111.73,70359.32,75882.03,95221.86,104287.4,106935.5,101407.8,101875.3,97774.16,98431.87,99471.64,98467.68,102005.6,106885.9,111820.6,113050.7,116153.2,107791.9,111774.7,118845.6
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,101.6908,108.3563,116.0415,122.3673,135.0111,146.8535,159.1773,175.9629,195.4577,207.2245,221.7775,233.6946,262.3419,257.6305,418.8968,468.9553,520.938,601.6939,685.0402,788.0636,791.0422,1004.881,933.7358,885.9652,986.8132,842.0902,607.0827,652.7058,675.7148,678.6413,685.9427,737.5214,763.2607,760.1176,777.4161,856.3651,925.8491,973.9626,1025.409,981.7529,977.3295,930.8757,888.1986,892.3554,951.9516,1018.314,1200.068,1351.035,1687.579,1725.146,1922.059,2304.982,2562.467,2853.797,3022.463,2975.649,3013.503,3280.008,3471.007,3472.381,3068.813,3345.197,3523.274
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,232.9988,229.3368,247.8343,291.404,254.8386,265.4754,325.1731,348.0211,370.1804,395.4414,439.2209,494.8027,577.4515,806.3545,1034.164,1188.62,1376.348,1547.694,1716.708,1853.02,1941.26,2061.35,2118.564,1448.01,1406.69,1541.709,1836.685,1986.834,2119.611,2790.414,3085.396,2659.049,2505.225,2766.328,3393.143,4704.962,5121.905,5240.129,5049.766,3456.424,3726.811,3142.236,2824.715,3056.65,3623.224,4773.268,5866.024,7323.19,8801.759,8569.902,11249.29,13200.56,12327.52,12258.56,12071.4,8783.214,8680.735,9896.718,9121.02,8845.324,6923.7,7696.786,8917.674
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,1268.267,1627.66,1755.166,1983.064,2202.645,2656.647,3992.036,4374.852,4552.944,4818.684,5235.134,5465.204,5990.46,6589.383,7005.503,7753.026,7772.809,7789.391,7520.791,7905.677,8220.276,8451.959,8994.324,9491.475,10685.26,11173.95,11560.25,11510.04,11658.63,11998.18,12828.44,14173.75,15595.64,17219.05,17550.66,16310.46,16489.8,16907.21,16691.33,16893.61,16924.19,16990.22,17343.73,17843.2,18224.89,19002.96,16643.81,17225.46,20018.52
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,1059,1179.05,1181.943,1309.979,1259.337,1342.995,1424.471,1882.204,2905.414,6957.19,7317.772,8621.125,10159.01,11020.68,15409.83,26228.07,22494.87,21254.06,18526.29,17619.33,15863.26,10262.93,11587.49,10949.8,11762.35,13440.67,13717.39,15080.72,14420.59,14000.44,15827.99,16706.47,16593.43,12653.81,14065.7,17971.89,16437.43,16817.24,18521.36,21839.26,25991.21,30767.75,32337.28,37427.55,27497.54,34609.7,46139.11,46844.2,43950.06,41035.77,30681.44,26762.04,28186.98,31241.02,30748.32,27179.34,31448.91,37152.47
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,309.8544,324.687,319.853,343.6249,341.2068,337.0059,383.0867,472.2383,514.6915,486.5752,515.2997,423.2694,440.0333,433.8656,496.7861,550.6562,564.4869,644.0878,652.361,699.3313,722.8268,765.0092,841.3663,951.7392,1050.133,1201.434,1299.631,1714.031,1780.112,1768.746,2194.126,2491.273,2470.072,2409.44,2589.899,2695.637,2879.547,3240.706,3210.708,3303.962,3009.926,3266.363,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,59.29712,62.74295,66.44868,69.37885,74.01439,80.19383,89.52801,101.3307,113.7009,131.8504,162.5062,210.9592,262.465,371.4349,442.536,487.916,485.4038,559.6566,695.0925,917.5944,1130.316,1092.664,992.1182,1105.13,1128.872,978.9933,1180.909,1610.365,2096.736,2369.126,2825.725,2855.949,2918.617,2844.996,2832.813,3064.586,3063.995,3100.165,2893.329,3242.137,3351.697,3115.679,3029.789,4111.738,4818.213,5240.316,5142.914,5372.341,5345.848,4938.25,6041.732,7080.778,6392.987,6436.603,6844.033,5869.738,6411.552,6705.341,6947.818,6691.161,5875.071,7238.796,7737.655
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,66.7701,71.9932,71.4391,72.83983,78.39352,81.42827,83.6116,84.84325,97.08481,93.01877,91.47265,95.41896,106.9449,123.4949,125.6634,165.7934,194.6008,216.6045,258.0684,293.1667,330.0029,284.6378,303.2508,263.9895,252.7486,338.7483,434.3751,459.1661,476.0209,452.9666,512.8509,475.2761,471.9406,413.9595,267.0063,340.3997,299.6195,271.1433,272.1015,273.4279,243.8776,242.5757,253.4107,283.6753,309.1902,317.8777,340.4145,388.4778,446.2288,452.9222,459.777,515.2095,525.8675,352.2269,394.8569,351.8798,372.1355,414.7403,435.9323,426.4088,435.4692,461.1375,427.0581
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2259.288,2240.443,2268.581,2374.485,2555.134,2770.359,3047.037,3217.152,3462.69,3763.934,4135.821,4535.346,5106.737,5858.392,7056.582,7536.822,8838.693,8949.11,9154.761,10077.29,11207.95,12379,12526.96,13476.97,13930.84,14170.05,14521.48,16377.91,19012.56,20795.17,21526.35,21846.3,20949.93,20186.99,19997.62,20678.95,21296.63,21901.59,21024.51,22315.17,24271,23821.45,24255.34,28300.46,32143.68,36382.51,40504.06,44659.9,46710.51,40876.31,47562.08,52223.7,52669.09,52635.17,50956,43596.14,42315.6,45129.43,46547.8,46374.15,43349.68,52358.62,54966.49
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2305.676,2196.004,2361.311,2491.381,2826.656,3580.936,3796.503,3748.512,4109.314,3989.192,3952.068,4352.735,4937.127,5949.803,7176.511,8355.865,9469.081,12008.29,14576.26,12306.26,12606.59,13962.77,13074.24,13665.73,14141.1,12525.63,12782.22,14222.45,16077.02,16349.01,16298.27,18790.42,19337.89
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,1787.36,1971.316,2131.392,2294.183,2501.293,2620.476,2784.734,2960.723,3121.889,3344.784,,,,,,,,,,,19393.78,17664.64,18000.19,17858.88,16991.37,17151.92,24459.63,30440.68,32690.43,31308.17,39575.73,39544.72,40713.16,39236.68,43092.01,50115.14,48092.25,41584.08,42680.19,41696.94,38864.04,39638.44,42458.53,49337.55,54659.64,56243.95,59008.99,64991.01,74175.88,71565.57,76531.37,90476.76,85836.21,87304.33,88724.99,83806.45,82153.07,82254.38,85216.64,84121.93,85656.32,91991.6,92101.47
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41229.01,43247.69,44318.22,42678.28,45279.64,49428.31,57200.47,58550.66,63665.32,75148.35,,,,,,,,,58094,57683.89,62316.22,61281.33,57339.53,67960.73,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,504.8011,580.8134,663.8163,646.0306,675.6993,679.1979,781.7782,756.6911,757.6899,865.7563,931.1677,1089.343,1166.376,1632.389,1547.798,716.3446,956.8486,1273.088,1435.841,1929.007,2531.573,2965.374,2144.986,1699.693,1615.362,1436.177,1509.533,1750.659,2015.735,2276.341,2481.74,2789.81,3335.065,3521.712,4011.694,5094.505,5376.149,5788.86,5467.571,4981.191,5097.115,4606.891,4479.175,4824.221,6185.515,7561.831,9418.063,10461.37,10783.17,10182.86,12767.78,14628.57,15406.49,15833.28,14666.34,13569.95,13785.69,15045.53,15795.71,14627.15,13165.39,16247.4,15355.51
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,89.52022,75.80556,70.90916,74.31337,85.49825,98.48642,104.3242,96.58918,91.47239,100.1295,113.1626,118.6541,131.8855,157.0891,160.1477,178.3396,165.4042,185.4205,156.3964,183.9832,194.8047,197.0715,203.3349,225.4319,250.714,294.4588,281.9281,251.812,283.5377,310.8819,317.8847,333.1421,366.4607,377.3898,473.4899,609.6044,709.4159,781.7426,828.5947,873.2976,959.3604,1053.112,1148.514,1288.638,1508.668,1753.414,2099.219,2693.959,3468.327,3832.227,4550.474,5614.386,6300.582,7020.386,7636.074,8016.446,8094.39,8817.045,9905.406,10143.86,10408.72,12617.5,12720.22
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,147.2778,160.6527,161.3902,183.1002,213.1416,204.7171,219.2378,222.9755,253.7137,259.0527,265.7404,277.0004,309.2651,400.8745,468.8026,568.1135,652.7028,844.8156,1025.934,1143.386,1225.416,978.0748,845.665,736.7106,711.0853,700.2808,888.3414,945.9986,928.6417,851.2134,906.4115,848.282,868.7255,829.4825,602.332,769.2557,1220.121,1176.852,1237.131,1154.479,986.7774,974.78,1020.95,1173.064,1267.765,1267.087,1303.565,1451.233,1683.338,1638.805,1654.178,1701.705,1649.302,1903.054,2124.019,1941.582,1999.195,2113.342,2295.54,2290.787,2349.07,2613.379,2486.412
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,120.0182,125.5256,130.8953,132.3481,139.7806,143.0705,145.9989,156.6798,170.7456,175.0733,178.4062,186.6419,220.0248,271.6785,299.8619,386.2209,381.4266,435.3906,581.8907,718.0313,783.4101,748.7714,730.7689,743.4741,768.984,871.5411,1172.49,1250.698,1137.225,993.0874,1077.334,1005.304,995.3145,1295.916,692.8587,822.3632,817.1841,773.9271,789.2743,786.8459,700.1632,706.9842,780.2706,976.5193,1119.981,1129.358,1177.969,1311.003,1476.009,1445.86,1383.814,1497.927,1433.724,1559.139,1631.714,1399.675,1426.065,1479.862,1594.06,1538.688,1539.131,1666.933,1588.479
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,219.9058,196.9432,234.9759,376.1465,169.8438,231.8983,252.6322,183.1986,205.5313,256.9782,242.0479,270.1098,290.208,360.1296,427.5117,444.0841,407.8874,508.9128,614.5296,581.7304,538.9605,456.6218,483.772,379.4741,262.9775,233.6049,255.1721,234.2104,262.5566,259.0562,259.8056,258.7844,214.6321,270.4909,140.2097,130.3763,130.8165,135.8889,135.4774,99.75725,392.6263,148.4471,168.9448,167.9816,187.8568,211.5726,247.5419,277.6121,317.8892,290.1557,324.8277,376.375,412.7763,444.8644,472.2662,482.0646,456.028,451.0891,546.2126,575.8828,524.6667,577.2092,586.4643
